label,mean,median,variance,max,min,count
request:01JTJYX6BE5C76EH0Q7VKMZ030 cancelled,3.0936779975891113,3.0936779975891113,,3.0936779975891113,3.0936779975891113,1
request:01JTJYX6BHESH541H175HA4R8H processing,53.78985899686813,53.78985899686813,,53.78985899686813,53.78985899686813,1
request:01JTJYX6BHESH541H175HA4R8H ended,92.68943800032139,92.68943800032139,,92.68943800032139,92.68943800032139,1
Intent detection event 'start' for userId '11',,,,,,0
Intent detection event 'end' for userId '11',,,,,,0
Intent detection event 'start' for userId '12',,,,,,0
request:01JTJYY19P1MXHBPDQ3ZNZXY0E processing,11.434472009539604,11.434472009539604,,11.434472009539604,11.434472009539604,1
request:01JTJYY19P1MXHBPDQ3ZNZXY0E ended,50.792500004172325,50.792500004172325,,50.792500004172325,50.792500004172325,1
Intent detection event 'end' for userId '12',,,,,,0
request:01JTJYY2XYRZCVXHYEE4W9Q97H processing,14.156889006495476,14.156889006495476,,14.156889006495476,14.156889006495476,1
request:01JTJYY2XYRZCVXHYEE4W9Q97H ended,43.664772003889084,43.664772003889084,,43.664772003889084,43.664772003889084,1
Intent detection event 'start' for userId '13',,,,,,0
request:01JTJYYRZ1VTMFJN73Y2YQDWVC processing,10.119541004300117,10.119541004300117,,10.119541004300117,10.119541004300117,1
request:01JTJYYRZ1VTMFJN73Y2YQDWVC ended,65.51864901185036,65.51864901185036,,65.51864901185036,65.51864901185036,1
Intent detection event 'end' for userId '13',,,,,,0
request:01JTJYYTRV8Y67MTMVR73P26G7 processing,16.03584200143814,16.03584200143814,,16.03584200143814,16.03584200143814,1
request:01JTJYYTRV8Y67MTMVR73P26G7 ended,65.76682399213314,65.76682399213314,,65.76682399213314,65.76682399213314,1
Intent detection event 'start' for userId '14',,,,,,0
request:01JTJYZFJZMMSKZHMZ8TRJPN21 processing,8.19310599565506,8.19310599565506,,8.19310599565506,8.19310599565506,1
request:01JTJYZFJZMMSKZHMZ8TRJPN21 ended,50.38527099788189,50.38527099788189,,50.38527099788189,50.38527099788189,1
Intent detection event 'end' for userId '17',,,,,,0
